id,date,prix,ville,nombre_lots,lot1_surface1,lot2_surface1,lot3_surface1,lot4_surface1,lot5_surface1,type,surface2,nombre_pieces,nature_culture,surface_terrain
279,2016-08-04,364800.0,D,2,,32.69,,,,Appartement,32.0,1.0,,
280,2017-08-04,751000.0,C,2,66.67,,,,,Appartement,68.0,3.0,,
281,2018-04-13,65000.0,B,1,48.82,,,,,Local industriel. commercial ou assimilé,50.0,0.0,,
282,2019-07-12,910000.0,D,2,,83.05,,,,Appartement,83.0,3.0,,
283,2017-02-07,110000.0,B,3,72.21,2.44,64.92,,,Local industriel. commercial ou assimilé,141.0,0.0,,
284,2017-03-30,600000.0,C,2,48.25,51.66,,,,Appartement,80.0,2.0,,
285,2015-02-26,341250.0,D,2,41.07,,,,,Appartement,48.0,3.0,,
286,2018-03-14,2052550.0,D,3,151.96,,,,,Appartement,165.0,6.0,,
287,2019-10-04,198000.0,B,0,,,,,,Maison,88.0,5.0,sols,263.0
288,2018-05-03,1450000.0,C,3,85.01,,,,,Appartement,88.0,4.0,,
289,2018-06-27,40000.0,D,1,6.0,,,,,Dépendance,,0.0,,
290,2016-10-18,45000.0,D,1,,,,,,Dépendance,,0.0,,
291,2016-07-05,34000.0,B,1,17.74,,,,,Appartement,15.0,1.0,,
292,2019-06-11,735000.0,D,1,66.73,,,,,Appartement,70.0,2.0,,
293,2015-07-15,50000.0,B,3,,,,,,Appartement,109.0,4.0,,
294,2019-11-06,420000.0,D,1,43.42,,,,,Appartement,42.0,2.0,,
295,2018-11-06,120000.0,B,0,,,,,,Maison,110.0,5.0,sols,423.0
296,2019-04-17,1700000.0,C,3,6.3,,157.85,,,Appartement,157.0,6.0,,
297,2015-09-28,361280.0,D,2,35.7,,,,,Appartement,35.0,2.0,,
298,2015-08-19,80000.0,D,1,29.26,,,,,Appartement,30.0,1.0,,
299,2017-11-29,60000.0,B,2,49.76,49.76,,,,Local industriel. commercial ou assimilé,53.0,0.0,,
300,2018-07-13,15000.0,B,1,,,,,,Appartement,112.0,5.0,,
301,2018-03-24,160000.0,B,0,,,,,,Maison,75.0,5.0,sols,405.0
302,2015-06-25,35000.0,B,2,,28.23,,,,Appartement,27.0,1.0,,
303,2015-12-15,600000.0,C,2,58.94,,,,,Appartement,59.0,2.0,,
304,2015-11-18,1420000.0,D,2,,145.11,,,,Appartement,148.0,6.0,,
305,2019-01-14,550000.0,D,1,54.07,,,,,Appartement,55.0,1.0,,
306,2015-02-18,69000.0,B,0,,,,,,Maison,55.0,3.0,sols,191.0
307,2019-09-13,437000.0,D,1,,,,,,Appartement,45.0,4.0,,
308,2017-08-23,1221000.0,D,2,109.53,,,,,Appartement,110.0,4.0,,
309,2015-09-18,610000.0,D,2,,65.75,,,,Appartement,67.0,3.0,,
310,2019-01-10,559600.0,D,1,49.02,,,,,Appartement,50.0,2.0,,
311,2015-12-04,42000.0,B,1,27.57,,,,,Appartement,29.0,1.0,,
312,2019-07-17,990000.0,D,2,89.05,,,,,Appartement,91.0,4.0,,
313,2018-11-26,11600000.0,C,0,,,,,,Maison,610.0,12.0,sols,266.0
314,2019-09-07,110000.0,A,0,,,,,,Maison,210.0,9.0,sols,554.0
315,2019-09-26,698800.0,D,2,,65.87,,,,Appartement,69.0,4.0,,
316,2019-01-25,2700000.0,C,3,188.83,,,,,Appartement,190.0,6.0,,
317,2015-11-27,477550.0,D,2,51.05,,,,,Appartement,49.0,2.0,,
318,2016-12-02,240000.0,C,3,30.7,,,,,Appartement,30.0,1.0,,
319,2015-04-30,2736486.4,C,1,285.25,,,,,Appartement,292.0,8.0,,
320,2018-09-05,1000.0,C,1,,,,,,Local industriel. commercial ou assimilé,33.0,0.0,,
321,2019-04-19,405000.0,D,1,35.15,,,,,Appartement,35.0,2.0,,
322,2017-02-02,2100000.0,C,2,8.53,184.7,,,,Local industriel. commercial ou assimilé,190.0,0.0,,
323,2016-11-21,450000.0,C,1,,,,,,Local industriel. commercial ou assimilé,33.0,0.0,,
324,2018-12-11,89500.0,B,1,63.32,,,,,Appartement,58.0,3.0,,
325,2018-05-25,60000.0,C,1,,,,,,Local industriel. commercial ou assimilé,22.0,0.0,,
326,2019-04-17,900000.0,D,2,86.49,,,,,Appartement,85.0,3.0,,
327,2016-11-18,61920.0,D,1,,,,,,Dépendance,,0.0,,
328,2017-05-13,65000.0,B,2,76.13,,,,,Appartement,44.0,3.0,,
329,2017-07-22,170000.0,A,0,,,,,,Maison,123.0,5.0,sols,869.0
330,2016-03-21,80000.0,C,3,12.61,8.63,,,,Local industriel. commercial ou assimilé,400.0,0.0,,
331,2017-09-20,1065676.0,D,1,107.25,,,,,Appartement,105.0,4.0,,
332,2016-09-06,347000.0,D,2,41.38,,,,,Appartement,46.0,2.0,,
333,2018-04-26,62000.0,D,1,,,,,,Dépendance,,0.0,,
334,2017-07-04,7000.0,B,1,8.53,,,,,Appartement,10.0,1.0,,
335,2018-09-21,1380000.0,D,4,,118.07,118.07,118.07,,Appartement,134.0,6.0,,
